epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,8347.57,0.53079,0.35084,0.92962,0.97468,0.95007,0.97912,0.9122,0.32632,0.2427,0.6896,0.000787833,0.000787833,0.000787833
136,8409.5,0.52423,0.35006,0.93327,0.97955,0.94558,0.97815,0.91227,0.32617,0.24011,0.68954,0.00078625,0.00078625,0.00078625
137,8471.25,0.52646,0.34736,0.92974,0.9773,0.94669,0.97865,0.91162,0.32602,0.24304,0.68945,0.000784667,0.000784667,0.000784667
138,8532.82,0.52462,0.34577,0.93405,0.97765,0.95015,0.9783,0.91123,0.32617,0.23828,0.69062,0.000783083,0.000783083,0.000783083
139,8594.52,0.52569,0.34846,0.93251,0.97666,0.94992,0.97913,0.91058,0.32574,0.22683,0.6904,0.0007815,0.0007815,0.0007815
140,8656.47,0.51634,0.34134,0.92631,0.97991,0.94669,0.97885,0.91136,0.32386,0.21819,0.6891,0.000779917,0.000779917,0.000779917
141,8718.43,0.51372,0.33952,0.92616,0.98148,0.94571,0.97925,0.91264,0.32316,0.21419,0.68787,0.000778333,0.000778333,0.000778333
142,8779.83,0.52088,0.34764,0.93422,0.98011,0.94768,0.97845,0.91236,0.32329,0.20746,0.68743,0.00077675,0.00077675,0.00077675
143,8841.55,0.5096,0.34324,0.92354,0.98057,0.94653,0.97883,0.91239,0.32201,0.20676,0.6866,0.000775167,0.000775167,0.000775167
144,8902.73,0.52147,0.34627,0.92912,0.97958,0.94703,0.97873,0.91169,0.32218,0.2134,0.68689,0.000773583,0.000773583,0.000773583
145,8964.47,0.52267,0.33943,0.92821,0.98057,0.94768,0.97772,0.91155,0.32229,0.2091,0.68802,0.000772,0.000772,0.000772
146,9026.28,0.51311,0.3372,0.92208,0.98054,0.9453,0.97816,0.91257,0.32136,0.21051,0.68814,0.000770417,0.000770417,0.000770417
147,9088.71,0.50716,0.33474,0.92055,0.98082,0.94373,0.97842,0.91244,0.31995,0.20789,0.68801,0.000768833,0.000768833,0.000768833
148,9149.96,0.51717,0.34225,0.92863,0.98254,0.94413,0.97798,0.9133,0.31967,0.20966,0.68895,0.00076725,0.00076725,0.00076725
149,9211.84,0.50676,0.33356,0.92437,0.98254,0.94434,0.97816,0.91383,0.31965,0.21192,0.68946,0.000765667,0.000765667,0.000765667
150,9273,0.51584,0.34621,0.92483,0.98255,0.9448,0.97804,0.91344,0.32054,0.21289,0.68976,0.000764083,0.000764083,0.000764083
151,9334.39,0.50866,0.33811,0.92421,0.98153,0.94447,0.9781,0.91436,0.32094,0.21081,0.69046,0.0007625,0.0007625,0.0007625
152,9395.65,0.50933,0.3356,0.92373,0.98186,0.94373,0.978,0.91296,0.3187,0.21345,0.68894,0.000760917,0.000760917,0.000760917
153,9457.61,0.50833,0.33604,0.9193,0.98051,0.94368,0.97831,0.91334,0.31715,0.21664,0.68827,0.000759333,0.000759333,0.000759333
154,9518.89,0.50476,0.3351,0.92092,0.97688,0.94669,0.97829,0.91264,0.31593,0.2168,0.68718,0.00075775,0.00075775,0.00075775
155,9580.41,0.50407,0.32967,0.92537,0.97408,0.94768,0.97783,0.91372,0.3146,0.21697,0.6863,0.000756167,0.000756167,0.000756167
156,9641.03,0.50703,0.33798,0.92262,0.97386,0.94669,0.97713,0.91347,0.31452,0.21891,0.68559,0.000754583,0.000754583,0.000754583
157,9702.49,0.49591,0.33135,0.91621,0.97359,0.94613,0.97715,0.91392,0.31349,0.21665,0.68472,0.000753,0.000753,0.000753
158,9764.2,0.5041,0.33041,0.92289,0.97459,0.94643,0.97703,0.91376,0.31303,0.21587,0.68378,0.000751417,0.000751417,0.000751417
159,9825.56,0.50016,0.32777,0.92009,0.97778,0.94373,0.97795,0.91432,0.31356,0.21689,0.68381,0.000749833,0.000749833,0.000749833
160,9886.49,0.49337,0.32692,0.91485,0.97269,0.94941,0.97808,0.91456,0.31444,0.21718,0.68432,0.00074825,0.00074825,0.00074825
161,9948.42,0.49554,0.32082,0.91457,0.9782,0.94373,0.97738,0.91436,0.3148,0.21715,0.68514,0.000746667,0.000746667,0.000746667
162,10009.4,0.508,0.33096,0.91543,0.97365,0.94845,0.97751,0.91446,0.31569,0.21722,0.6862,0.000745083,0.000745083,0.000745083
163,10070.6,0.5011,0.32643,0.9191,0.97274,0.95095,0.97755,0.91445,0.31537,0.21828,0.68601,0.0007435,0.0007435,0.0007435
164,10132.1,0.50151,0.33049,0.91954,0.97399,0.94768,0.97747,0.91361,0.31596,0.22232,0.68629,0.000741917,0.000741917,0.000741917
165,10193.8,0.49301,0.32797,0.91856,0.97365,0.94837,0.97707,0.91381,0.31686,0.22316,0.68713,0.000740333,0.000740333,0.000740333
166,10255.1,0.49902,0.32181,0.9259,0.97464,0.94867,0.97837,0.91303,0.31708,0.22423,0.68747,0.00073875,0.00073875,0.00073875
167,10316.8,0.49943,0.32703,0.91979,0.97468,0.95006,0.97763,0.91353,0.31695,0.22508,0.6879,0.000737167,0.000737167,0.000737167
168,10378.1,0.49802,0.33106,0.91737,0.97428,0.94965,0.97757,0.91352,0.31748,0.22514,0.68872,0.000735583,0.000735583,0.000735583
169,10439.6,0.49384,0.32073,0.91613,0.97466,0.94906,0.97755,0.9134,0.31749,0.22541,0.68911,0.000734,0.000734,0.000734
170,10501.5,0.49977,0.32532,0.9176,0.976,0.94768,0.97725,0.91335,0.31768,0.22634,0.68925,0.000732417,0.000732417,0.000732417
171,10562.4,0.49393,0.32325,0.91635,0.97854,0.9452,0.97688,0.91317,0.31791,0.22717,0.68958,0.000730833,0.000730833,0.000730833
172,10623.6,0.49086,0.32227,0.91551,0.97949,0.94472,0.97672,0.91341,0.31797,0.22854,0.68982,0.00072925,0.00072925,0.00072925
173,10685.2,0.49543,0.3258,0.91778,0.97953,0.94493,0.97669,0.91311,0.31772,0.23173,0.68957,0.000727667,0.000727667,0.000727667
174,10746.3,0.49218,0.3267,0.91874,0.97709,0.94571,0.97651,0.91329,0.3176,0.23405,0.68915,0.000726083,0.000726083,0.000726083
175,10807.6,0.49719,0.32144,0.92219,0.97755,0.94587,0.97665,0.91278,0.31742,0.23383,0.68864,0.0007245,0.0007245,0.0007245
176,10869.4,0.496,0.32461,0.92487,0.97656,0.94578,0.97674,0.9132,0.31683,0.23056,0.68837,0.000722917,0.000722917,0.000722917
177,10930.2,0.49055,0.32201,0.91589,0.9756,0.9473,0.97721,0.91328,0.31654,0.22776,0.68792,0.000721333,0.000721333,0.000721333
178,10991.9,0.48274,0.3172,0.91316,0.97581,0.94867,0.97734,0.91313,0.31682,0.22532,0.68804,0.00071975,0.00071975,0.00071975
179,11053,0.48696,0.3183,0.91787,0.97571,0.94867,0.97736,0.91313,0.31608,0.22409,0.68786,0.000718167,0.000718167,0.000718167
180,11114.6,0.4802,0.31739,0.91536,0.97759,0.94745,0.9774,0.91301,0.31577,0.22136,0.6877,0.000716583,0.000716583,0.000716583
181,11176,0.48481,0.32035,0.91962,0.97757,0.94655,0.97744,0.91332,0.31498,0.2192,0.68725,0.000715,0.000715,0.000715
182,11237.8,0.48081,0.31528,0.91449,0.97763,0.94571,0.97746,0.91372,0.31422,0.21843,0.68653,0.000713417,0.000713417,0.000713417
183,11299.1,0.47233,0.31031,0.90881,0.97722,0.94571,0.97747,0.91374,0.31407,0.21813,0.68583,0.000711833,0.000711833,0.000711833
