epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4830.11,0.82771,0.6554,1.10121,0.96382,0.94667,0.97242,0.88069,0.38224,1.3547,0.73868,0.000775167,0.000775167,0.000775167
73,4891.89,0.81544,0.64059,1.08973,0.97246,0.94115,0.97057,0.8819,0.36939,1.17099,0.72903,0.000772,0.000772,0.000772
74,4963.32,0.81466,0.63603,1.09737,0.97225,0.93394,0.96979,0.88276,0.36527,1.74272,0.73589,0.000768833,0.000768833,0.000768833
75,5028.99,0.81133,0.64158,1.09448,0.97336,0.93778,0.97074,0.87979,0.37272,3.02991,0.73394,0.000765667,0.000765667,0.000765667
76,5090.14,0.81831,0.64883,1.09941,0.96955,0.94867,0.97335,0.88675,0.37195,1.63301,0.73556,0.0007625,0.0007625,0.0007625
77,5151.37,0.80274,0.6215,1.0853,0.96458,0.94087,0.97091,0.88365,0.37686,1.67153,0.73742,0.000759333,0.000759333,0.000759333
78,5222.91,0.80908,0.63227,1.09497,0.97652,0.94472,0.97181,0.88489,0.37696,0.86694,0.73437,0.000756167,0.000756167,0.000756167
79,5294.25,0.80948,0.63314,1.08747,0.97043,0.9396,0.97174,0.88437,0.37725,1.52359,0.73428,0.000753,0.000753,0.000753
80,5364.82,0.80496,0.62701,1.08672,0.98196,0.91358,0.96653,0.87661,0.37797,10.7323,0.73502,0.000749833,0.000749833,0.000749833
81,5437.75,0.8091,0.62317,1.08874,0.96007,0.9536,0.97222,0.88433,0.37651,1.54718,0.73543,0.000746667,0.000746667,0.000746667
82,5502.13,0.80111,0.62737,1.08746,0.96764,0.9445,0.96989,0.88452,0.36723,2.75509,0.73139,0.0007435,0.0007435,0.0007435
83,5567.13,0.80884,0.63008,1.08871,0.97218,0.9314,0.9718,0.88371,0.37132,1.49479,0.73364,0.000740333,0.000740333,0.000740333
84,5638.85,0.80297,0.61972,1.08054,0.97974,0.92103,0.96841,0.88218,0.36492,2.93891,0.7253,0.000737167,0.000737167,0.000737167
85,5710.26,0.79689,0.61316,1.07598,0.95576,0.95064,0.97372,0.88844,0.36564,1.27259,0.72499,0.000734,0.000734,0.000734
86,5780.69,0.79909,0.62228,1.08161,0.97213,0.93189,0.97182,0.88534,0.36819,1.55395,0.72834,0.000730833,0.000730833,0.000730833
87,5845.75,0.79823,0.62275,1.08283,0.96387,0.94803,0.97199,0.88535,0.37031,1.22419,0.73124,0.000727667,0.000727667,0.000727667
88,5912.22,0.7906,0.61572,1.07602,0.95998,0.9473,0.97426,0.88317,0.36839,2.46845,0.72768,0.0007245,0.0007245,0.0007245
89,5973.99,0.79833,0.61548,1.07853,0.96384,0.9473,0.97486,0.88406,0.37009,1.50114,0.73057,0.000721333,0.000721333,0.000721333
90,6044.31,0.79032,0.59833,1.07907,0.97135,0.93726,0.97389,0.88482,0.37118,1.16908,0.73214,0.000718167,0.000718167,0.000718167
91,6107.11,0.78709,0.60372,1.07824,0.97178,0.93682,0.97366,0.88883,0.36449,0.64164,0.73324,0.000715,0.000715,0.000715
92,6181.76,0.78196,0.60453,1.0754,0.97632,0.93598,0.97504,0.89131,0.36316,0.84618,0.73214,0.000711833,0.000711833,0.000711833
93,6261.02,0.77856,0.59597,1.07354,0.96744,0.94176,0.97397,0.89052,0.36335,1.16592,0.73078,0.000708667,0.000708667,0.000708667
94,6322.31,0.78191,0.60216,1.0776,0.97541,0.9309,0.97091,0.88604,0.36675,1.70906,0.73161,0.0007055,0.0007055,0.0007055
95,6384.57,0.7717,0.5925,1.07072,0.96801,0.93978,0.97325,0.88769,0.36544,1.20897,0.72911,0.000702333,0.000702333,0.000702333
96,6455.74,0.78362,0.59902,1.07344,0.97639,0.93895,0.97306,0.8854,0.37084,1.14702,0.73173,0.000699167,0.000699167,0.000699167
97,6517.98,0.77993,0.59898,1.0759,0.95821,0.94867,0.97178,0.88804,0.3676,1.15029,0.73094,0.000696,0.000696,0.000696
98,6589.44,0.77184,0.59203,1.07036,0.95902,0.94725,0.97151,0.88999,0.36836,1.18878,0.73267,0.000692833,0.000692833,0.000692833
99,6653.74,0.77663,0.58757,1.07398,0.97723,0.92991,0.97128,0.88881,0.36264,0.93256,0.7304,0.000689667,0.000689667,0.000689667
100,6715.69,0.78255,0.59845,1.07036,0.96853,0.94168,0.97055,0.8851,0.36264,1.42699,0.7267,0.0006865,0.0006865,0.0006865
101,6780.73,0.76997,0.59218,1.07287,0.9673,0.9343,0.97069,0.88678,0.36495,1.65827,0.72967,0.000683333,0.000683333,0.000683333
